 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,0.299,2.154,1.068,0.356,90.000,0.998,1221,11,108.435,0.315
2,0.498,3.416,1.780,0.356,90.000,1.609,49,15,101.310,0.315
3,0.498,2.862,0.880,0.720,90.000,1.137,363,15,123.690,0.946
4,0.299,1.785,0.746,0.510,135.000,0.892,617,18,135.000,0.631
5,0.398,2.416,1.007,0.503,108.435,1.137,949,5,123.690,0.631
6,0.597,3.123,1.078,0.705,0.000,1.301,397,17,165.964,0.946
7,0.398,2.785,1.424,0.356,90.000,1.301,17,18,104.036,0.315
8,0.398,2.600,1.424,0.356,0.000,1.301,172,23,165.964,0.315
9,2.588,6.278,2.259,1.458,174.996,2.464,814,341,140.194,1.577
10,0.597,3.046,1.304,0.583,12.933,1.411,811,348,26.565,0.631
11,0.995,5.908,1.789,0.708,9.191,2.403,817,350,23.199,0.946
12,0.299,2.154,1.068,0.356,90.000,0.998,135,389,108.435,0.315
13,0.299,1.969,1.068,0.356,0.000,0.998,19,1003,161.565,0.315
14,0.299,1.969,1.068,0.356,0.000,0.998,869,7,161.565,0.315
15,0.299,1.969,1.068,0.356,0.000,0.998,333,9,161.565,0.315
16,0.398,2.416,1.007,0.503,71.565,1.137,1333,12,56.310,0.631
17,0.299,1.785,0.746,0.510,135.000,0.892,1233,10,135.000,0.631
18,0.498,2.862,1.046,0.606,45.000,1.338,29,58,45.000,0.892
19,0.299,2.154,1.068,0.356,90.000,0.998,1353,55,108.435,0.315
20,0.299,1.969,1.068,0.356,0.000,0.998,1381,91,161.565,0.315
21,0.398,2.416,1.007,0.503,108.435,1.137,882,361,123.690,0.631
22,0.398,2.416,1.007,0.503,161.565,1.137,1167,11,146.310,0.631
23,0.299,2.154,1.068,0.356,90.000,0.998,293,13,108.435,0.315
24,0.398,2.416,1.007,0.503,71.565,1.137,47,28,56.310,0.631
25,0.597,3.677,1.643,0.463,172.534,1.699,1173,28,158.199,0.631
26,1.393,5.462,1.436,1.235,82.289,1.919,707,104,99.462,1.561
27,0.299,1.969,1.068,0.356,0.000,0.998,1161,757,161.565,0.315
28,0.299,2.154,1.068,0.356,90.000,0.998,1123,981,108.435,0.315
29,0.299,2.154,1.068,0.356,90.000,0.998,923,9,108.435,0.315
30,0.697,3.939,1.180,0.752,0.000,1.609,1201,11,168.690,0.946
31,0.597,3.677,1.643,0.463,82.534,1.699,1346,16,68.199,0.631
32,0.796,4.570,1.697,0.597,90.000,1.919,1299,12,99.462,0.946
33,0.299,1.969,1.068,0.356,0.000,0.998,273,17,161.565,0.315
34,0.398,2.231,0.862,0.588,0.000,0.998,1346,25,161.565,0.631
35,0.299,2.154,1.068,0.356,90.000,0.998,523,35,108.435,0.315
36,0.995,4.200,1.442,0.879,73.301,1.839,935,1014,59.036,1.148
37,8.061,11.262,3.595,2.855,154.820,3.902,725,1026,14.036,3.104
38,0.299,1.969,1.068,0.356,0.000,0.998,201,1033,161.565,0.315
39,0.398,2.416,1.007,0.503,18.435,1.137,1353,16,33.690,0.631
40,0.398,2.231,0.862,0.588,0.000,0.998,1208,21,161.565,0.631
41,0.299,1.969,1.068,0.356,0.000,0.998,1004,25,161.565,0.315
42,2.289,7.954,2.742,1.063,177.691,3.217,358,300,11.310,1.262
43,0.299,2.154,1.068,0.356,90.000,0.998,1065,7,108.435,0.315
44,0.398,2.785,1.424,0.356,90.000,1.301,727,15,104.036,0.315
45,0.299,2.154,1.068,0.356,90.000,0.998,1125,18,108.435,0.315
46,0.299,2.154,1.068,0.356,90.000,0.998,65,19,108.435,0.315
47,3.185,7.954,3.078,1.317,46.029,3.597,1353,694,37.875,1.785
48,1.294,4.200,1.443,1.142,84.960,1.699,1362,698,68.199,1.262
49,0.398,2.416,0.862,0.588,90.000,0.998,1349,708,108.435,0.631
50,0.299,1.969,1.068,0.356,0.000,0.998,1369,715,161.565,0.315
51,0.299,1.785,0.746,0.510,135.000,0.892,1336,731,135.000,0.631
52,4.976,8.324,2.793,2.269,48.259,3.155,1330,740,36.870,2.454
53,0.498,2.862,1.177,0.538,174.848,1.301,410,847,165.964,0.631
54,0.299,2.154,1.068,0.356,90.000,0.998,1383,879,108.435,0.315
