 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1.095,4.831,1.527,0.913,97.781,1.919,67,4,99.462,1.262
2,0.299,2.154,1.068,0.356,90.000,0.998,1041,5,108.435,0.315
3,2.886,6.985,2.245,1.637,45.000,2.714,1000,12,35.538,1.913
4,0.398,2.600,1.424,0.356,0.000,1.301,872,7,165.964,0.315
5,1.891,5.723,1.904,1.265,50.978,2.231,313,14,45.000,1.552
6,1.095,4.385,1.350,1.032,123.401,1.785,545,8,135.000,1.262
7,5.673,10.216,3.136,2.303,110.181,4.101,761,8,112.620,2.524
8,1.194,5.201,1.790,0.849,84.149,2.231,923,8,98.130,0.946
9,0.299,1.969,1.068,0.356,0.000,0.998,196,9,161.565,0.315
10,0.498,3.046,1.046,0.606,135.000,1.338,235,9,135.000,0.892
11,1.095,4.831,1.479,0.942,15.408,1.839,645,12,30.964,1.262
12,0.896,5.201,2.162,0.527,83.660,2.297,684,16,74.055,0.778
13,0.299,1.785,0.746,0.510,45.000,0.892,1033,11,45.000,0.631
14,0.299,1.969,1.068,0.356,0.000,0.998,1167,9,161.565,0.315
15,1.493,4.831,1.978,0.961,35.019,2.231,1343,14,45.000,1.225
16,1.095,3.493,1.383,1.008,105.071,1.577,219,10,126.870,0.946
17,0.398,2.785,1.424,0.356,90.000,1.301,83,11,104.036,0.315
18,0.498,2.862,0.880,0.720,90.000,1.137,737,11,123.690,0.946
19,0.697,4.308,1.477,0.601,72.231,1.839,857,16,59.036,0.946
20,0.796,3.493,1.274,0.796,146.310,1.577,1275,11,143.130,0.946
21,0.299,2.154,1.068,0.356,90.000,0.998,1029,12,108.435,0.315
22,0.398,2.416,1.007,0.503,71.565,1.137,445,16,56.310,0.631
23,0.299,2.154,1.068,0.356,90.000,0.998,707,13,108.435,0.315
24,0.697,4.124,1.180,0.752,90.000,1.609,803,13,101.310,0.946
25,0.299,2.154,1.068,0.356,90.000,0.998,747,15,108.435,0.315
26,0.597,3.308,1.078,0.705,90.000,1.301,1011,15,104.036,0.946
27,0.299,2.154,1.068,0.356,90.000,0.998,755,17,108.435,0.315
28,0.299,1.785,0.746,0.510,45.000,0.892,476,20,45.000,0.631
29,1.294,4.646,1.527,1.078,45.000,1.839,998,22,30.964,1.338
30,0.299,1.969,1.068,0.356,0.000,0.998,199,19,161.565,0.315
31,0.398,2.600,1.424,0.356,0.000,1.301,1084,19,165.964,0.315
32,0.299,2.154,1.068,0.356,90.000,0.998,383,20,108.435,0.315
33,0.299,1.969,1.068,0.356,0.000,0.998,1143,21,161.565,0.315
34,0.299,2.154,1.068,0.356,90.000,0.998,53,23,108.435,0.315
35,0.299,2.154,1.068,0.356,90.000,0.998,1291,23,108.435,0.315
36,0.398,2.231,0.862,0.588,0.000,0.998,1344,23,161.565,0.631
37,0.597,3.677,1.233,0.617,116.565,1.577,541,24,126.870,0.946
38,1.294,4.385,1.670,0.986,173.791,1.919,90,27,170.538,0.946
39,2.886,7.877,2.910,1.263,60.482,3.527,549,36,63.435,1.561
40,0.299,1.785,0.746,0.510,45.000,0.892,900,28,45.000,0.631
41,0.299,1.969,1.068,0.356,0.000,0.998,1293,27,161.565,0.315
42,0.597,3.046,1.173,0.648,90.000,1.301,1351,27,104.036,0.631
43,0.299,1.969,1.068,0.356,0.000,0.998,707,29,161.565,0.315
44,0.498,2.862,1.046,0.606,45.000,1.338,1283,32,45.000,0.892
45,0.597,3.308,1.269,0.599,6.264,1.411,590,32,26.565,0.631
46,0.796,3.123,1.276,0.795,160.670,1.411,668,31,153.435,0.946
47,0.398,2.600,1.424,0.356,0.000,1.301,64,31,165.964,0.315
48,0.299,2.154,1.068,0.356,90.000,0.998,577,31,108.435,0.315
49,0.896,4.200,1.399,0.815,66.605,1.609,941,32,101.310,1.097
50,0.299,2.154,1.068,0.356,90.000,0.998,291,33,108.435,0.315
51,0.299,1.969,1.068,0.356,0.000,0.998,183,35,161.565,0.315
52,2.389,6.354,2.344,1.297,158.813,2.695,930,35,159.444,1.577
53,0.398,2.416,1.007,0.503,71.565,1.137,1083,38,56.310,0.631
54,2.986,7.693,2.213,1.718,169.890,2.695,458,39,159.444,2.208
55,0.299,2.154,1.068,0.356,90.000,0.998,879,37,108.435,0.315
56,0.498,3.046,1.177,0.538,84.848,1.301,499,40,104.036,0.631
57,0.995,3.939,1.571,0.807,158.507,1.839,871,43,149.036,0.946
58,0.398,2.416,1.007,0.503,18.435,1.137,1329,50,33.690,0.631
59,5.275,10.370,3.384,1.985,54.772,3.851,643,60,34.992,2.677
60,0.299,1.969,1.068,0.356,0.000,0.998,913,49,161.565,0.315
61,0.498,3.416,1.780,0.356,90.000,1.609,327,55,101.310,0.315
62,0.597,3.493,1.005,0.757,113.745,1.338,27,57,135.000,0.946
63,4.578,11.032,4.311,1.352,101.931,4.593,670,61,105.945,1.963
64,0.398,2.416,1.007,0.503,71.565,1.137,148,66,56.310,0.631
65,0.299,2.154,1.068,0.356,90.000,0.998,265,65,108.435,0.315
66,0.398,2.416,1.007,0.503,161.565,1.137,1273,67,146.310,0.631
67,0.299,2.154,1.068,0.356,90.000,0.998,1217,70,108.435,0.315
68,0.995,4.461,1.484,0.854,41.203,1.839,1215,78,30.964,1.115
69,6.369,19.802,5.119,1.584,145.953,6.926,1325,75,149.931,2.622
70,0.398,2.416,1.007,0.503,108.435,1.137,1209,85,123.690,0.631
71,2.488,7.431,2.107,1.503,30.592,2.908,1195,93,40.601,1.956
72,0.896,5.570,2.418,0.472,90.616,2.543,1219,88,97.125,0.631
73,1.194,4.124,1.564,0.972,83.358,1.699,93,89,111.801,0.946
74,1.592,7.616,2.064,0.982,46.425,2.908,75,102,49.399,1.561
75,0.498,2.862,1.023,0.619,0.000,1.137,1353,97,146.310,0.631
76,0.398,2.785,1.424,0.356,90.000,1.301,89,101,104.036,0.315
77,0.398,2.231,1.007,0.503,18.435,1.137,1221,103,33.690,0.631
78,0.498,2.862,0.880,0.720,90.000,1.137,84,105,123.690,0.946
79,0.398,2.231,0.862,0.588,0.000,0.998,246,105,161.565,0.631
80,1.692,4.646,1.566,1.376,42.882,1.839,89,112,59.036,1.552
81,0.299,1.969,1.068,0.356,0.000,0.998,1339,109,161.565,0.315
82,5.076,11.555,3.456,1.870,169.210,4.517,50,111,167.905,2.394
83,0.796,4.385,1.155,0.878,90.000,1.609,1211,111,101.310,1.262
84,2.886,8.770,2.400,1.531,169.692,3.294,1355,111,163.301,1.893
85,1.095,4.646,1.641,0.849,13.811,1.919,1218,115,170.538,1.097
86,1.194,4.385,1.523,0.998,61.174,1.839,1173,120,59.036,1.262
87,1.095,5.647,1.707,0.816,135.707,2.275,1361,117,146.310,1.338
88,0.398,2.416,1.007,0.503,161.565,1.137,1013,124,146.310,0.631
89,0.597,3.677,1.511,0.503,85.269,1.609,467,132,101.310,0.631
90,0.299,1.785,0.746,0.510,135.000,0.892,1345,136,135.000,0.631
91,3.682,12.708,3.425,1.369,130.099,4.484,1083,138,129.289,2.069
92,0.498,2.677,0.796,0.796,0.000,0.998,387,140,108.435,0.892
93,0.299,2.154,1.068,0.356,90.000,0.998,1051,143,108.435,0.315
94,1.592,6.724,2.203,0.920,70.404,2.695,393,152,69.444,1.262
95,0.597,3.123,1.078,0.705,0.000,1.301,1086,149,165.964,0.946
96,0.498,3.046,1.046,0.606,135.000,1.338,1101,151,135.000,0.892
97,0.299,1.785,0.746,0.510,45.000,0.892,20,164,45.000,0.631
98,0.498,3.416,1.780,0.356,90.000,1.609,283,165,101.310,0.315
99,2.687,7.247,2.244,1.525,90.239,2.695,371,175,110.556,1.577
100,0.498,2.862,1.177,0.538,174.848,1.301,45,177,165.964,0.631
101,0.597,3.123,1.078,0.705,0.000,1.301,1343,179,165.964,0.946
102,0.498,2.862,1.023,0.619,0.000,1.137,213,183,146.310,0.631
103,0.398,2.785,1.424,0.356,90.000,1.301,1119,184,104.036,0.315
104,5.374,14.971,5.366,1.275,10.504,5.590,264,230,16.390,1.917
105,0.896,3.939,1.480,0.771,57.038,1.839,755,230,59.036,0.946
106,1.891,5.277,1.787,1.347,55.531,2.116,1091,236,63.435,1.577
107,0.299,1.785,0.746,0.510,135.000,0.892,1175,232,135.000,0.631
108,1.990,5.908,1.955,1.296,42.963,2.464,197,262,39.806,1.577
109,0.498,2.677,1.023,0.619,90.000,1.137,1125,279,123.690,0.631
110,0.597,3.123,1.078,0.705,0.000,1.301,103,281,165.964,0.946
111,0.697,3.754,0.988,0.898,45.001,1.338,77,286,45.000,1.115
112,0.299,2.154,1.068,0.356,90.000,0.998,133,291,108.435,0.315
113,0.299,1.969,1.068,0.356,0.000,0.998,127,293,161.565,0.315
114,0.299,2.154,1.068,0.356,90.000,0.998,1363,297,108.435,0.315
115,0.299,2.154,1.068,0.356,90.000,0.998,1367,297,108.435,0.315
116,0.299,2.154,1.068,0.356,90.000,0.998,267,303,108.435,0.315
117,0.398,2.416,0.862,0.588,90.000,0.998,609,304,108.435,0.631
118,2.986,6.724,2.114,1.798,24.352,2.464,868,323,140.194,1.893
119,0.995,4.646,1.453,0.872,0.931,1.919,117,327,170.538,1.262
120,0.796,2.862,1.116,0.908,45.000,1.338,138,338,45.000,0.946
121,1.194,4.200,1.362,1.117,109.054,1.609,45,354,101.310,1.262
122,0.697,4.308,1.849,0.480,93.942,1.919,37,357,99.462,0.631
123,0.299,2.154,1.068,0.356,90.000,0.998,1231,359,108.435,0.315
124,0.299,1.969,1.068,0.356,0.000,0.998,441,369,161.565,0.315
125,1.095,4.385,1.679,0.830,125.506,2.020,1369,383,128.660,1.115
126,0.299,1.785,0.746,0.510,135.000,0.892,847,384,135.000,0.631
127,1.592,7.431,2.309,0.878,174.371,2.822,850,385,153.435,1.262
128,0.299,2.154,1.068,0.356,90.000,0.998,633,389,108.435,0.315
129,0.299,1.969,1.068,0.356,0.000,0.998,563,393,161.565,0.315
130,0.398,2.600,1.424,0.356,0.000,1.301,1168,403,165.964,0.315
131,0.796,4.754,1.019,0.995,0.000,1.609,365,421,168.690,1.262
132,1.194,4.200,1.394,1.091,162.535,1.609,1364,423,168.690,1.262
133,0.398,2.231,1.007,0.503,18.435,1.137,665,431,33.690,0.631
134,1.095,3.754,1.431,0.974,0.000,1.609,1296,435,168.690,0.946
135,0.498,3.416,1.780,0.356,90.000,1.609,453,435,101.310,0.315
136,2.389,6.800,2.355,1.291,113.114,2.822,445,436,116.565,1.577
137,1.692,4.570,1.696,1.270,82.868,1.839,1019,443,120.964,1.262
138,0.299,2.154,1.068,0.356,90.000,0.998,1353,457,108.435,0.315
139,0.299,1.969,1.068,0.356,0.000,0.998,923,473,161.565,0.315
140,3.981,14.525,3.867,1.311,116.498,4.988,59,488,108.435,2.257
141,0.299,2.154,1.068,0.356,90.000,0.998,813,491,108.435,0.315
142,0.796,4.385,1.635,0.620,0.000,1.919,385,493,170.538,0.946
143,0.398,2.416,1.007,0.503,108.435,1.137,966,497,123.690,0.631
144,0.498,3.416,1.780,0.356,90.000,1.609,819,499,101.310,0.315
145,0.796,3.046,1.007,1.007,0.000,1.338,959,503,135.000,0.946
146,0.498,2.862,1.046,0.606,45.000,1.338,787,520,45.000,0.892
147,0.498,2.862,1.046,0.606,45.000,1.338,1115,528,45.000,0.892
148,0.299,1.969,1.068,0.356,0.000,0.998,945,535,161.565,0.315
149,0.896,4.124,1.512,0.754,67.500,1.839,1217,552,59.036,0.946
150,0.299,2.154,1.068,0.356,90.000,0.998,205,553,108.435,0.315
151,0.398,2.416,1.007,0.503,108.435,1.137,905,557,123.690,0.631
152,0.299,2.154,1.068,0.356,90.000,0.998,1095,571,108.435,0.315
153,0.498,3.046,1.046,0.606,135.000,1.338,1379,577,135.000,0.892
154,2.588,7.247,2.644,1.246,5.629,2.993,447,596,18.435,1.577
155,0.498,3.046,1.177,0.538,95.152,1.301,1285,596,104.036,0.631
156,2.787,8.846,3.467,1.023,34.141,3.812,1317,610,24.444,1.312
157,0.398,2.785,1.424,0.356,90.000,1.301,1319,612,104.036,0.315
158,0.498,3.231,1.780,0.356,0.000,1.609,711,625,168.690,0.315
159,2.289,6.985,2.133,1.367,175.079,2.695,996,633,159.444,1.893
160,0.299,1.785,0.746,0.510,45.000,0.892,341,649,45.000,0.631
161,0.299,2.154,1.068,0.356,90.000,0.998,343,649,108.435,0.315
162,0.398,2.231,1.007,0.503,18.435,1.137,27,653,33.690,0.631
163,1.791,5.908,2.118,1.077,150.096,2.464,470,653,140.194,1.347
164,3.384,9.139,2.677,1.609,160.801,3.353,60,661,138.814,2.066
165,0.597,3.046,1.304,0.583,12.933,1.411,57,666,26.565,0.631
166,12.142,21.032,4.853,3.186,173.707,5.791,788,667,150.642,4.101
167,0.398,2.600,1.424,0.356,0.000,1.301,267,667,165.964,0.315
168,0.498,3.046,1.177,0.538,84.848,1.301,267,671,104.036,0.631
169,0.299,2.154,1.068,0.356,90.000,0.998,1341,673,108.435,0.315
170,0.299,2.154,1.068,0.356,90.000,0.998,367,687,108.435,0.315
171,2.389,7.093,2.765,1.100,91.012,2.993,1007,729,108.435,1.262
172,0.398,2.600,1.424,0.356,0.000,1.301,1012,729,165.964,0.315
173,1.194,4.385,1.366,1.113,12.557,1.699,795,733,21.801,1.262
174,0.299,2.154,1.068,0.356,90.000,0.998,671,739,108.435,0.315
175,0.498,2.862,0.880,0.720,90.000,1.137,1318,739,123.690,0.946
176,0.597,3.308,1.294,0.587,136.950,1.577,162,741,143.130,0.892
177,0.498,2.677,0.796,0.796,0.000,0.998,1329,742,108.435,0.892
178,0.398,2.231,1.007,0.503,18.435,1.137,1023,751,33.690,0.631
179,1.493,5.908,2.030,0.936,8.889,2.543,1007,751,172.875,1.193
180,2.189,5.908,1.759,1.585,103.027,2.116,879,756,116.565,1.577
181,0.299,1.969,1.068,0.356,0.000,0.998,29,767,161.565,0.315
182,0.498,3.231,1.780,0.356,0.000,1.609,35,771,168.690,0.315
183,0.299,2.154,1.068,0.356,90.000,0.998,855,789,108.435,0.315
184,1.493,4.831,1.722,1.104,69.857,2.116,543,796,63.435,1.262
185,0.398,2.416,1.007,0.503,71.565,1.137,971,798,56.310,0.631
186,0.398,2.600,1.424,0.356,0.000,1.301,331,801,165.964,0.315
187,0.995,5.092,1.849,0.685,83.226,1.995,493,811,71.565,0.946
188,0.299,2.154,1.068,0.356,90.000,0.998,491,813,108.435,0.315
189,0.597,3.493,1.461,0.521,0.000,1.609,687,813,168.690,0.631
190,0.498,3.231,1.780,0.356,0.000,1.609,47,843,168.690,0.315
191,1.493,6.169,2.134,0.890,34.025,2.714,341,848,35.538,1.199
192,0.299,1.969,1.068,0.356,0.000,0.998,682,847,161.565,0.315
193,0.299,2.154,1.068,0.356,90.000,0.998,343,849,108.435,0.315
194,0.398,2.600,1.424,0.356,0.000,1.301,333,853,165.964,0.315
195,0.299,2.154,1.068,0.356,90.000,0.998,1371,861,108.435,0.315
196,0.398,2.600,1.424,0.356,0.000,1.301,1146,863,165.964,0.315
197,0.796,4.754,1.555,0.652,169.172,1.919,507,877,170.538,0.946
198,0.299,1.969,1.068,0.356,0.000,0.998,1003,891,161.565,0.315
199,0.498,3.416,1.780,0.356,90.000,1.609,193,899,101.310,0.315
200,0.498,3.046,1.046,0.606,135.000,1.338,379,911,135.000,0.892
201,0.299,2.154,1.068,0.356,90.000,0.998,47,913,108.435,0.315
202,0.498,2.862,1.046,0.606,45.000,1.338,1179,916,45.000,0.892
203,0.498,3.231,1.780,0.356,0.000,1.609,1255,917,168.690,0.315
204,0.896,4.570,1.668,0.684,90.354,1.919,1345,917,99.462,0.946
205,0.398,2.416,1.007,0.503,71.565,1.137,878,934,56.310,0.631
206,0.299,1.969,1.068,0.356,0.000,0.998,1299,949,161.565,0.315
207,0.398,2.785,1.424,0.356,90.000,1.301,1331,988,104.036,0.315
208,0.299,2.154,1.068,0.356,90.000,0.998,845,999,108.435,0.315
209,0.299,2.154,1.068,0.356,90.000,0.998,781,1000,108.435,0.315
210,0.299,1.785,0.746,0.510,135.000,0.892,870,1035,135.000,0.631
211,0.498,3.046,1.046,0.606,135.000,1.338,403,5,135.000,0.892
212,0.299,2.154,1.068,0.356,90.000,0.998,1135,5,108.435,0.315
213,0.697,4.308,1.477,0.601,162.231,1.839,1293,5,149.036,0.946
214,0.498,3.416,1.780,0.356,90.000,1.609,341,7,101.310,0.315
215,0.299,2.154,1.068,0.356,90.000,0.998,543,7,108.435,0.315
216,0.398,2.416,1.007,0.503,161.565,1.137,843,7,146.310,0.631
217,1.294,4.646,1.720,0.958,40.304,2.020,1025,12,51.340,1.270
218,0.995,4.570,1.186,1.069,53.130,1.609,1077,7,101.310,1.262
219,0.697,4.385,1.476,0.601,104.624,1.839,393,9,120.964,0.918
220,1.194,5.723,1.911,0.796,177.896,2.231,1216,11,171.870,1.262
