 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,0.498,3.046,1.046,0.606,45.000,1.338,465,10,45.000,0.892
2,0.299,2.154,1.068,0.356,90.000,0.998,1227,15,108.435,0.315
3,0.398,2.416,1.007,0.503,71.565,1.137,35,26,56.310,0.631
4,0.796,4.754,1.356,0.747,101.310,1.839,1331,11,120.964,1.262
5,0.299,1.969,1.068,0.356,0.000,0.998,43,13,161.565,0.315
6,0.498,3.416,1.780,0.356,90.000,1.609,595,17,101.310,0.315
7,0.299,2.154,1.068,0.356,90.000,0.998,923,17,108.435,0.315
8,0.299,2.154,1.068,0.356,90.000,0.998,857,23,108.435,0.315
9,0.299,2.154,1.068,0.356,90.000,0.998,31,863,108.435,0.315
10,0.299,2.154,1.068,0.356,90.000,0.998,1251,25,108.435,0.315
11,0.498,3.046,1.046,0.606,135.000,1.338,381,73,135.000,0.892
12,0.398,2.416,1.007,0.503,71.565,1.137,83,24,56.310,0.631
13,0.597,3.308,1.078,0.705,90.000,1.301,1013,8,104.036,0.946
14,0.299,2.154,1.068,0.356,90.000,0.998,733,13,108.435,0.315
15,0.299,1.969,1.068,0.356,0.000,0.998,1245,17,161.565,0.315
16,1.095,5.016,1.789,0.779,164.627,2.116,1377,19,153.435,1.054
17,0.498,3.231,1.780,0.356,0.000,1.609,673,25,168.690,0.315
18,0.398,2.416,1.007,0.503,108.435,1.137,46,903,123.690,0.631
19,0.299,1.969,1.068,0.356,0.000,0.998,1317,15,161.565,0.315
20,0.398,2.600,1.424,0.356,0.000,1.301,375,21,165.964,0.315
21,0.299,2.154,1.068,0.356,90.000,0.998,665,27,108.435,0.315
22,0.299,1.969,1.068,0.356,0.000,0.998,695,987,161.565,0.315
23,0.299,2.154,1.068,0.356,90.000,0.998,1103,11,108.435,0.315
24,0.299,1.969,1.068,0.356,0.000,0.998,595,25,161.565,0.315
25,0.398,2.231,1.007,0.503,18.435,1.137,433,1035,33.690,0.631
26,0.398,2.416,1.007,0.503,108.435,1.137,767,25,123.690,0.631
27,0.299,2.154,1.068,0.356,90.000,0.998,21,241,108.435,0.315
28,0.299,2.154,1.068,0.356,90.000,0.998,93,5,108.435,0.315
29,0.299,1.969,1.068,0.356,0.000,0.998,41,921,161.565,0.315
30,0.597,3.493,1.005,0.757,66.255,1.338,899,8,45.000,0.946
31,0.697,4.308,1.477,0.601,162.231,1.839,29,13,149.036,0.946
32,0.398,2.231,0.862,0.588,0.000,0.998,302,13,161.565,0.631
33,0.299,2.154,1.068,0.356,90.000,0.998,399,25,108.435,0.315
34,0.299,2.154,1.068,0.356,90.000,0.998,1069,53,108.435,0.315
35,0.299,1.969,1.068,0.356,0.000,0.998,1371,269,161.565,0.315
36,1.592,5.908,2.126,0.954,58.919,2.464,137,489,50.194,1.262
37,0.398,2.416,1.007,0.503,161.565,1.137,145,487,146.310,0.631
38,2.787,7.247,2.581,1.375,112.337,2.822,145,490,116.565,1.683
39,0.299,2.154,1.068,0.356,90.000,0.998,1249,13,108.435,0.315
40,0.299,1.969,1.068,0.356,0.000,0.998,957,23,161.565,0.315
41,0.299,2.154,1.068,0.356,90.000,0.998,485,15,108.435,0.315
42,0.299,2.154,1.068,0.356,90.000,0.998,19,877,108.435,0.315
43,0.299,1.969,1.068,0.356,0.000,0.998,1371,21,161.565,0.315
44,0.299,2.154,1.068,0.356,90.000,0.998,47,39,108.435,0.315
45,0.299,1.969,1.068,0.356,0.000,0.998,28,11,161.565,0.315
46,0.299,2.154,1.068,0.356,90.000,0.998,115,19,108.435,0.315
47,0.498,3.231,1.780,0.356,0.000,1.609,1245,11,168.690,0.315
