 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,0.299,1.969,1.068,0.356,0.000,0.998,209,7,161.565,0.315
2,1.095,4.124,1.521,0.917,69.006,1.839,987,12,59.036,0.946
3,0.398,2.862,1.132,0.448,135.000,1.338,639,9,135.000,0.669
4,4.478,8.508,2.801,2.035,95.137,3.107,133,11,113.962,2.394
5,0.498,3.046,1.046,0.606,135.000,1.338,997,13,135.000,0.892
6,0.299,1.785,0.746,0.510,45.000,0.892,364,16,45.000,0.631
7,0.299,1.969,1.068,0.356,0.000,0.998,984,15,161.565,0.315
8,0.697,3.939,1.340,0.662,90.000,1.609,1205,17,101.310,0.946
9,0.299,2.154,1.068,0.356,90.000,0.998,301,18,108.435,0.315
10,0.299,1.969,1.068,0.356,0.000,0.998,969,19,161.565,0.315
11,0.299,1.969,1.068,0.356,0.000,0.998,97,21,161.565,0.315
12,0.299,2.154,1.068,0.356,90.000,0.998,983,21,108.435,0.315
13,0.299,1.969,1.068,0.356,0.000,0.998,889,23,161.565,0.315
14,0.796,4.385,1.155,0.878,90.000,1.609,1015,29,101.310,1.262
15,0.498,3.231,1.780,0.356,0.000,1.609,41,51,168.690,0.315
16,1.493,5.908,2.041,0.931,136.367,2.464,899,86,129.806,1.338
17,0.299,1.969,1.068,0.356,0.000,0.998,97,91,161.565,0.315
18,0.299,1.785,0.746,0.510,135.000,0.892,983,100,135.000,0.631
19,3.981,7.693,2.391,2.120,36.409,2.908,1217,149,40.601,2.362
20,0.299,1.785,0.746,0.510,45.000,0.892,983,157,45.000,0.631
21,0.498,3.046,1.046,0.606,45.000,1.338,1025,158,45.000,0.892
22,0.398,2.416,1.007,0.503,71.565,1.137,753,162,56.310,0.631
23,0.299,1.785,0.746,0.510,135.000,0.892,771,238,135.000,0.631
24,0.597,3.862,2.136,0.356,0.000,1.919,74,295,170.538,0.315
25,0.597,3.493,1.643,0.463,7.466,1.699,67,307,21.801,0.631
26,0.896,4.385,1.584,0.720,64.903,1.839,805,318,59.036,0.988
27,6.767,15.232,4.327,1.992,32.316,4.815,808,339,31.608,2.993
28,0.398,2.416,1.007,0.503,71.565,1.137,805,340,56.310,0.631
29,1.095,4.200,1.492,0.934,52.250,1.839,335,346,59.036,1.115
30,0.896,5.016,1.642,0.695,74.518,2.020,357,388,51.340,0.995
31,2.787,8.324,2.596,1.367,137.896,3.353,355,401,131.186,1.785
32,0.299,2.154,1.068,0.356,90.000,0.998,1255,555,108.435,0.315
33,0.299,2.154,1.068,0.356,90.000,0.998,1049,587,108.435,0.315
34,0.796,4.200,1.424,0.712,96.340,1.609,511,600,101.310,0.946
35,3.185,6.877,2.377,1.706,10.223,2.695,501,606,20.556,1.893
36,0.597,3.493,1.005,0.757,23.745,1.338,779,804,45.000,0.946
37,1.095,4.385,1.747,0.798,122.067,2.020,242,849,128.660,1.050
38,0.597,3.308,1.078,0.705,90.000,1.301,239,856,104.036,0.946
39,0.299,2.154,1.068,0.356,90.000,0.998,93,899,108.435,0.315
40,0.299,2.154,1.068,0.356,90.000,0.998,1103,915,108.435,0.315
41,1.692,6.354,1.816,1.186,16.264,2.297,467,926,15.945,1.552
42,0.896,3.046,1.068,1.068,0.000,1.338,781,1011,135.000,0.946
43,1.393,5.462,1.942,0.913,112.045,2.275,785,1014,123.690,1.148
44,1.791,9.324,1.860,1.227,15.149,2.714,779,1026,54.462,1.895
45,0.498,3.046,1.177,0.538,84.848,1.301,491,1025,104.036,0.631
46,0.299,1.969,1.068,0.356,0.000,0.998,51,5,161.565,0.315
47,2.090,8.693,2.207,1.206,175.635,3.170,86,13,174.289,1.893
48,0.498,3.416,1.780,0.356,90.000,1.609,1091,9,101.310,0.315
49,0.299,1.969,1.068,0.356,0.000,0.998,58,11,161.565,0.315
50,0.299,2.154,1.068,0.356,90.000,0.998,1095,11,108.435,0.315
51,0.299,2.154,1.068,0.356,90.000,0.998,629,13,108.435,0.315
52,0.398,2.231,0.862,0.588,0.000,0.998,632,13,161.565,0.631
53,0.398,2.677,1.132,0.448,45.000,1.338,1281,18,45.000,0.669
54,0.498,3.046,1.046,0.606,135.000,1.338,1361,15,135.000,0.892
55,0.299,2.154,1.068,0.356,90.000,0.998,375,17,108.435,0.315
56,1.493,5.201,2.119,0.897,15.482,2.403,1347,20,23.199,0.946
57,0.299,2.154,1.068,0.356,90.000,0.998,991,19,108.435,0.315
58,1.194,4.385,1.697,0.896,180.000,1.919,1370,21,170.538,0.946
59,0.299,2.154,1.068,0.356,90.000,0.998,467,27,108.435,0.315
60,1.592,5.016,1.940,1.045,121.769,2.231,621,29,135.000,1.270
61,0.299,2.154,1.068,0.356,90.000,0.998,17,31,108.435,0.315
62,1.493,4.646,1.416,1.343,45.001,1.785,194,58,45.000,1.552
63,1.891,7.062,2.412,0.998,72.482,2.822,213,63,63.435,1.397
64,0.299,2.154,1.068,0.356,90.000,0.998,1345,57,108.435,0.315
65,3.185,7.247,2.509,1.616,48.606,2.908,532,88,49.399,2.008
66,4.877,10.739,3.078,2.017,91.327,3.527,848,101,79.695,2.208
67,1.194,4.124,1.598,0.952,72.863,1.839,355,98,59.036,0.946
68,4.877,10.739,3.269,1.899,125.805,3.851,837,97,124.992,2.398
69,0.498,3.046,1.046,0.606,135.000,1.338,501,149,135.000,0.892
70,0.796,4.015,1.461,0.694,9.116,1.699,1087,267,21.801,0.946
71,0.398,2.416,0.862,0.588,90.000,0.998,15,400,108.435,0.631
72,0.498,2.862,1.023,0.619,90.000,1.137,1362,409,123.690,0.631
73,2.687,6.616,2.431,1.408,13.257,2.695,1252,494,20.556,1.834
74,0.299,1.785,0.746,0.510,45.000,0.892,43,557,45.000,0.631
75,0.398,2.416,1.007,0.503,108.435,1.137,332,557,123.690,0.631
76,0.597,3.677,1.643,0.463,7.466,1.699,39,560,21.801,0.631
77,0.597,3.493,1.037,0.733,30.321,1.338,841,636,45.000,0.946
78,3.682,10.816,3.535,1.326,62.860,3.851,319,668,55.008,1.834
79,0.896,3.308,1.326,0.860,35.783,1.577,142,708,36.870,0.946
80,0.597,3.677,1.643,0.463,82.534,1.699,139,716,68.199,0.631
81,0.498,3.046,1.177,0.538,95.152,1.301,1327,717,104.036,0.631
82,0.299,1.969,1.068,0.356,0.000,0.998,1331,723,161.565,0.315
83,0.697,3.754,0.988,0.898,45.001,1.338,769,778,45.000,1.115
84,1.095,5.201,2.043,0.682,111.929,2.403,773,783,113.199,0.946
85,8.061,13.339,3.971,2.585,68.052,4.690,781,802,70.346,3.062
86,0.796,4.200,1.399,0.725,43.807,1.839,833,830,30.964,1.115
87,0.398,2.600,1.424,0.356,0.000,1.301,831,833,165.964,0.315
88,0.697,3.939,1.340,0.662,90.000,1.609,1141,1009,101.310,0.946
89,7.365,20.401,4.839,1.938,68.574,5.868,235,22,53.746,3.052
90,0.796,4.754,1.019,0.995,90.000,1.609,925,11,101.310,1.262
91,0.299,2.154,1.068,0.356,90.000,0.998,405,13,108.435,0.315
92,0.299,1.969,1.068,0.356,0.000,0.998,1309,15,161.565,0.315
93,0.299,1.969,1.068,0.356,0.000,0.998,503,17,161.565,0.315
94,0.597,3.308,1.078,0.705,90.000,1.301,1269,18,104.036,0.946
95,0.498,3.231,1.780,0.356,0.000,1.609,605,23,168.690,0.315
96,0.796,3.493,1.250,0.811,97.796,1.411,238,37,116.565,0.946
97,0.498,3.231,1.780,0.356,0.000,1.609,867,37,168.690,0.315
98,0.299,2.154,1.068,0.356,90.000,0.998,53,41,108.435,0.315
99,0.299,1.969,1.068,0.356,0.000,0.998,421,47,161.565,0.315
100,0.299,1.969,1.068,0.356,0.000,0.998,23,51,161.565,0.315
101,11.146,16.800,4.195,3.383,176.755,5.288,276,75,162.646,4.232
102,0.398,2.416,1.007,0.503,161.565,1.137,281,88,146.310,0.631
103,5.076,9.477,2.707,2.387,17.624,3.294,313,91,163.301,2.681
104,0.398,2.416,1.007,0.503,161.565,1.137,283,94,146.310,0.631
105,0.796,4.570,1.660,0.611,67.263,2.116,253,154,63.435,0.946
106,3.881,10.108,2.902,1.703,125.172,3.597,1203,151,142.125,2.365
107,3.682,9.031,2.973,1.577,135.543,3.353,299,167,131.186,2.008
108,0.398,2.416,1.007,0.503,71.565,1.137,271,236,56.310,0.631
109,0.398,2.231,0.862,0.588,0.000,0.998,272,241,161.565,0.631
110,0.995,4.015,1.378,0.920,167.471,1.699,955,295,158.199,1.262
111,0.896,5.201,1.608,0.709,115.773,2.116,289,312,116.565,0.946
112,2.289,5.539,1.882,1.548,77.731,2.116,453,344,63.435,1.785
113,0.299,2.154,1.068,0.356,90.000,0.998,421,375,108.435,0.315
114,0.299,1.969,1.068,0.356,0.000,0.998,73,425,161.565,0.315
115,0.697,4.308,1.477,0.601,107.769,1.839,305,431,120.964,0.946
116,0.498,3.231,1.780,0.356,0.000,1.609,758,433,168.690,0.315
117,0.796,3.123,1.402,0.723,35.355,1.577,1353,448,36.870,0.892
118,1.592,4.831,1.805,1.123,148.283,2.020,505,544,128.660,1.270
119,0.498,3.046,1.046,0.606,135.000,1.338,1353,573,135.000,0.892
120,0.299,2.154,1.068,0.356,90.000,0.998,341,617,108.435,0.315
121,0.498,2.862,0.880,0.720,0.000,1.137,23,732,146.310,0.946
122,0.896,4.385,1.435,0.795,131.709,1.839,7,737,120.964,1.115
123,0.299,1.969,1.068,0.356,0.000,0.998,651,799,161.565,0.315
124,2.289,6.985,1.970,1.480,36.088,2.714,659,838,54.462,1.834
125,0.498,2.862,0.880,0.720,90.000,1.137,1115,901,123.690,0.946
126,0.299,2.154,1.068,0.356,90.000,0.998,117,905,108.435,0.315
127,0.498,3.416,1.780,0.356,90.000,1.609,457,957,101.310,0.315
128,0.299,1.969,1.068,0.356,0.000,0.998,363,971,161.565,0.315
129,0.498,3.416,1.780,0.356,90.000,1.609,1287,976,101.310,0.315
130,0.498,2.862,1.177,0.538,174.848,1.301,673,999,165.964,0.631
131,0.597,3.862,2.136,0.356,0.000,1.919,821,1023,170.538,0.315
132,0.299,2.154,1.068,0.356,90.000,0.998,557,11,108.435,0.315
133,0.299,2.154,1.068,0.356,90.000,0.998,361,15,108.435,0.315
134,0.299,1.969,1.068,0.356,0.000,0.998,323,19,161.565,0.315
135,0.299,2.154,1.068,0.356,90.000,0.998,1345,19,108.435,0.315
136,0.299,2.154,1.068,0.356,90.000,0.998,31,23,108.435,0.315
137,0.299,1.969,1.068,0.356,0.000,0.998,836,23,161.565,0.315
138,0.299,1.969,1.068,0.356,0.000,0.998,863,23,161.565,0.315
139,0.299,2.154,1.068,0.356,90.000,0.998,805,25,108.435,0.315
140,0.995,4.385,1.727,0.734,145.487,2.020,933,42,141.340,0.988
141,0.398,2.231,0.862,0.588,0.000,0.998,938,47,161.565,0.631
142,0.398,2.416,1.007,0.503,108.435,1.137,933,57,123.690,0.631
