 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,0.896,3.046,1.068,1.068,0.000,1.338,521,11,135.000,0.946
2,0.299,1.969,1.068,0.356,0.000,0.998,1361,413,161.565,0.315
3,31.349,24.786,6.706,5.952,42.469,7.584,845,777,73.072,6.490
4,0.498,3.046,1.046,0.606,135.000,1.338,731,13,135.000,0.892
5,0.398,2.416,1.007,0.503,161.565,1.137,675,17,146.310,0.631
6,0.299,1.969,1.068,0.356,0.000,0.998,145,17,161.565,0.315
7,0.398,2.416,1.007,0.503,71.565,1.137,391,34,56.310,0.631
8,0.299,2.154,1.068,0.356,90.000,0.998,1085,17,108.435,0.315
9,0.299,2.154,1.068,0.356,90.000,0.998,25,71,108.435,0.315
10,0.299,1.969,1.068,0.356,0.000,0.998,821,965,161.565,0.315
11,0.299,2.154,1.068,0.356,90.000,0.998,331,15,108.435,0.315
12,0.498,2.677,0.796,0.796,0.000,0.998,1369,22,108.435,0.892
13,0.299,2.154,1.068,0.356,90.000,0.998,75,17,108.435,0.315
14,0.299,2.154,1.068,0.356,90.000,0.998,89,17,108.435,0.315
15,0.398,2.416,1.007,0.503,108.435,1.137,106,17,123.690,0.631
16,0.498,3.416,1.780,0.356,90.000,1.609,917,19,101.310,0.315
17,0.299,2.154,1.068,0.356,90.000,0.998,845,13,108.435,0.315
18,0.398,2.785,1.424,0.356,90.000,1.301,1017,14,104.036,0.315
19,0.299,1.969,1.068,0.356,0.000,0.998,43,17,161.565,0.315
20,0.299,2.154,1.068,0.356,90.000,0.998,257,19,108.435,0.315
21,0.299,1.969,1.068,0.356,0.000,0.998,159,21,161.565,0.315
22,0.398,2.600,1.424,0.356,0.000,1.301,1377,29,165.964,0.315
23,0.299,2.154,1.068,0.356,90.000,0.998,829,9,108.435,0.315
24,0.299,1.969,1.068,0.356,0.000,0.998,43,43,161.565,0.315
25,0.299,2.154,1.068,0.356,90.000,0.998,1347,27,108.435,0.315
26,0.398,2.785,1.424,0.356,90.000,1.301,981,12,104.036,0.315
27,0.299,1.969,1.068,0.356,0.000,0.998,1363,577,161.565,0.315
28,0.299,2.154,1.068,0.356,90.000,0.998,145,11,108.435,0.315
29,0.398,2.600,1.424,0.356,0.000,1.301,340,11,165.964,0.315
30,0.498,2.862,1.046,0.606,45.000,1.338,309,20,45.000,0.892
31,0.299,2.154,1.068,0.356,90.000,0.998,1105,27,108.435,0.315
32,0.299,1.969,1.068,0.356,0.000,0.998,169,11,161.565,0.315
33,0.299,1.969,1.068,0.356,0.000,0.998,1339,15,161.565,0.315
34,0.299,1.969,1.068,0.356,0.000,0.998,15,17,161.565,0.315
35,0.299,2.154,1.068,0.356,90.000,0.998,1301,11,108.435,0.315
36,0.896,5.016,1.477,0.772,68.395,2.020,385,738,51.340,1.262
37,5.971,15.385,4.079,1.864,94.712,4.826,399,733,101.310,2.722
38,5.872,9.662,3.030,2.468,83.192,3.597,361,755,74.745,2.839
39,4.279,11.555,4.147,1.314,44.203,4.484,341,756,50.711,1.950
40,1.692,5.277,1.620,1.330,34.391,2.020,335,756,51.340,1.577
41,0.697,3.754,1.498,0.592,170.355,1.699,337,759,158.199,0.842
42,3.682,8.247,2.607,1.798,115.343,3.155,338,767,143.130,2.116
43,0.796,3.939,1.571,0.645,123.945,1.839,411,777,120.964,0.892
44,0.498,3.231,1.780,0.356,0.000,1.609,429,793,168.690,0.315
45,0.896,4.015,1.230,0.927,7.628,1.609,459,809,168.690,1.262
46,0.896,3.939,1.600,0.713,17.567,1.839,425,822,30.964,0.946
47,0.299,1.969,1.068,0.356,0.000,0.998,433,827,161.565,0.315
48,0.299,2.154,1.068,0.356,90.000,0.998,1363,41,108.435,0.315
49,0.498,3.231,1.780,0.356,0.000,1.609,757,13,168.690,0.315
50,0.398,2.416,1.007,0.503,108.435,1.137,521,17,123.690,0.631
51,1.294,7.170,2.083,0.791,11.153,2.695,463,24,20.556,1.297
52,0.498,3.416,1.780,0.356,90.000,1.609,999,1011,101.310,0.315
53,0.498,3.046,1.046,0.606,45.000,1.338,1105,16,45.000,0.892
54,0.498,3.231,1.780,0.356,0.000,1.609,910,17,168.690,0.315
55,0.299,1.969,1.068,0.356,0.000,0.998,1337,23,161.565,0.315
56,0.299,1.785,0.746,0.510,135.000,0.892,410,7,135.000,0.631
57,0.299,1.969,1.068,0.356,0.000,0.998,48,13,161.565,0.315
58,0.299,2.154,1.068,0.356,90.000,0.998,571,29,108.435,0.315
59,0.299,1.969,1.068,0.356,0.000,0.998,325,985,161.565,0.315
60,0.398,2.785,1.424,0.356,90.000,1.301,557,8,104.036,0.315
61,0.299,1.969,1.068,0.356,0.000,0.998,669,23,161.565,0.315
62,0.299,1.969,1.068,0.356,0.000,0.998,1362,153,161.565,0.315
63,0.299,2.154,1.068,0.356,90.000,0.998,71,21,108.435,0.315
64,0.299,1.969,1.068,0.356,0.000,0.998,1247,27,161.565,0.315
65,0.597,3.493,1.511,0.503,175.269,1.609,226,21,168.690,0.631
66,0.398,2.416,0.862,0.588,90.000,0.998,633,14,108.435,0.631
67,0.299,2.154,1.068,0.356,90.000,0.998,791,31,108.435,0.315
