 ,Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,8.161,14.416,4.036,2.574,133.026,4.928,29,9,140.194,3.104
2,3.384,8.062,2.662,1.619,2.479,3.294,605,14,16.699,1.839
3,0.597,3.677,1.643,0.463,82.534,1.699,1297,14,68.199,0.631
4,1.095,4.461,1.381,1.009,13.591,1.609,1344,11,168.690,1.262
5,0.299,1.785,0.746,0.510,45.000,0.892,762,14,45.000,0.631
6,0.398,2.416,0.862,0.588,90.000,0.998,585,16,108.435,0.631
7,0.299,1.969,1.068,0.356,0.000,0.998,801,17,161.565,0.315
8,0.299,2.154,1.068,0.356,90.000,0.998,1251,17,108.435,0.315
9,0.299,2.154,1.068,0.356,90.000,0.998,297,23,108.435,0.315
10,1.393,4.385,1.495,1.186,129.938,1.839,1328,27,149.036,1.262
11,0.498,3.231,1.780,0.356,0.000,1.609,1341,27,168.690,0.315
12,3.782,8.062,2.920,1.649,166.007,3.294,1299,35,163.301,1.856
13,0.597,3.677,1.233,0.617,116.565,1.577,1341,38,126.870,0.946
14,0.597,3.493,1.005,0.757,23.745,1.338,411,46,45.000,0.946
15,0.498,2.862,1.046,0.606,45.000,1.338,533,46,45.000,0.892
16,0.498,3.046,1.177,0.538,84.848,1.301,843,47,104.036,0.631
17,10.450,20.216,4.804,2.770,160.150,6.926,1345,47,149.931,3.943
18,0.398,2.416,1.007,0.503,71.565,1.137,1366,52,56.310,0.631
19,0.398,2.600,1.424,0.356,0.000,1.301,1364,55,165.964,0.315
20,0.299,1.969,1.068,0.356,0.000,0.998,1179,143,161.565,0.315
21,0.299,1.785,0.746,0.510,45.000,0.892,20,240,45.000,0.631
22,0.299,1.969,1.068,0.356,0.000,0.998,605,307,161.565,0.315
23,0.498,3.231,1.780,0.356,0.000,1.609,635,309,168.690,0.315
24,0.995,4.200,1.466,0.865,48.814,1.839,617,322,59.036,1.115
25,0.597,3.308,1.037,0.733,59.679,1.338,91,392,45.000,0.946
26,3.085,7.693,2.286,1.718,179.251,2.822,131,408,153.435,1.893
27,2.588,8.585,3.089,1.066,146.052,3.527,1130,435,153.435,1.487
28,0.995,5.647,1.592,0.796,0.826,1.995,904,543,161.565,1.176
29,1.493,5.462,1.954,0.973,0.973,2.297,293,648,164.055,1.262
30,9.654,16.647,5.247,2.342,84.722,6.027,807,665,96.009,2.952
31,0.299,1.785,0.746,0.510,45.000,0.892,814,680,45.000,0.631
32,0.498,3.046,1.046,0.606,135.000,1.338,687,717,135.000,0.892
33,8.857,18.617,5.725,1.970,165.030,6.068,1289,739,152.103,2.810
34,1.194,5.647,1.627,0.934,126.650,2.231,1323,753,135.000,1.451
35,0.498,2.862,1.177,0.538,174.848,1.301,339,855,165.964,0.631
36,0.398,2.416,1.007,0.503,108.435,1.137,346,857,123.690,0.631
37,0.299,2.154,1.068,0.356,90.000,0.998,265,913,108.435,0.315
38,0.299,1.969,1.068,0.356,0.000,0.998,943,969,161.565,0.315
39,1.493,5.016,1.771,1.073,80.675,2.020,947,976,51.340,1.262
40,0.299,1.969,1.068,0.356,0.000,0.998,1055,977,161.565,0.315
41,0.597,3.308,1.078,0.705,90.000,1.301,1381,981,104.036,0.946
42,0.697,3.308,1.181,0.751,14.872,1.411,857,12,26.565,0.946
